cumpop,L_utci_mean,L_tsd,L_hdh
0.0006444816547602224,0.0006026243250060887,0.0003482718022305405,0.00040502173033932416
0.0006460365292981806,0.0006040784044989033,0.0003491210787383891,0.00040600057419569663
0.000648448129347794,0.0006063336721050075,0.00035043830094408086,0.00040751875449575575
0.0006551788773249741,0.0006126739146955543,0.00035437882196378477,0.00041204146606745707
0.0006595331098040906,0.0006167755227644993,0.0003569280103551506,0.0004149672831810892
0.0006613112136959126,0.0006184504644000453,0.00035796900249817796,0.00041616207625230436
0.0006640536681952376,0.0006210338068276935,0.00035957457436579373,0.0004180048626322155
0.0006668309397198139,0.0006236499462620225,0.00036120052988472296,0.0004198710442370748
0.000669833214727178,0.000626478034898644,0.0003629582138469751,0.000421888416446415
0.0006726034954959463,0.0006290875891677187,0.0003645800766231218,0.00042374990062800204
0.0006747155184273552,0.0006310773288702749,0.00036581656189690263,0.00042516940409111564
0.0006759961299793582,0.0006322837947711318,0.0003665662968083646,0.00042603011090728594
0.0006775662972884223,0.0006337630515481483,0.00036748555233639745,0.00042708542990962137
0.0006797547218156833,0.0006358247692990224,0.000368766766976872,0.00042855628335018383
0.0006810837274885279,0.0006370768273675479,0.00036954483425957307,0.0004294495161494329
0.0006832169995933925,0.0006390865859455825,0.00037079375987652787,0.0004308833013113197
0.0006843615207348152,0.0006401648408838395,0.0003714638205637743,0.00043165310369615425
0.0006855271107956935,0.000641262944880034,0.0003721462160643667,0.00043243707698955116
0.0006864410317443493,0.0006421239510601731,0.0003726812717105944,0.0004330517781954643
0.0006873850765212571,0.000643013336940255,0.00037323396337273347,0.0004336867406215413
0.0006883365153145239,0.0006439096887332974,0.0003737909838668214,0.0004343266762466451
0.0006892846627050956,0.0006448029396913433,0.0003743460774069438,0.00043496439808158606
0.0006903150509151753,0.000645773669838328,0.00037494931889125435,0.000435657434909581
0.0006913788110598979,0.0006467758397307446,0.00037557209799759063,0.00043637291762690467
0.000692454223619775,0.000647788987379472,0.0003762016990183712,0.00043709623773285336
0.000693552721741709,0.0006488238839678994,0.0003768448154972918,0.00043783508513671156
0.0006948025972679574,0.0006500013934167058,0.00037757655598139457,0.00043867574864744094
0.0006961752713074551,0.0006512945915133925,0.0003783801889393037,0.0004395990061662075
0.0006975491488074819,0.0006525889233918956,0.0003791845264640051,0.0004405230731298605
0.0006985034454966522,0.0006534879676125914,0.0003797432201152098,0.00044116493096941936
0.0006995783623580294,0.0006545006482630816,0.00038037253092896363,0.0004418879176696549
0.0007004264275893666,0.0006552996116815439,0.00038086903130031823,0.00044245832446595677
0.0007015489782014884,0.0006563571681539907,0.0003815262293261164,0.0004432133495214439
0.0007023985318877067,0.0006571575338478394,0.00038202360111440207,0.0004437847574492022
0.0007036789774592167,0.0006583638433782458,0.00038277323885247045,0.0004446459823046678
0.0007049965507328187,0.0006596051309677532,0.00038354461302919375,0.00044553217917033016
0.0007063148440708535,0.0006608470969309511,0.00038431640876813306,0.00044641886034973516
0.0007075929668670262,0.0006620512181715243,0.0003850646866357871,0.0004472785229116535
0.0007087984017619355,0.0006631868600405488,0.0003857704093217916,0.00044808929575217133
0.0007098742710740296,0.0006642004379961667,0.00038640027774847094,0.0004488129230686496
0.000710959981221391,0.000665223287016197,0.000387035907498907,0.0004495431693091332
0.0007120620536333307,0.0006662615509481447,0.00038768111654836305,0.00045028442077253293
0.0007131474833402683,0.0006672841357648668,0.00038831658211476073,0.0004510144783894086
0.0007142275939909186,0.00066830170949136,0.00038894893363600674,0.000451740958420806
0.0007152495772805135,0.0006692645213512197,0.0003895472544538547,0.00045242834211789803
0.0007161986499341701,0.0006701586440008878,0.0003901028896898849,0.00045306668628274067
0.000717115775421037,0.000671022669180874,0.0003906398214352062,0.00045368354285395707
0.000718220916500997,0.0006720638241091756,0.00039128682703845944,0.00045442685829667084
0.0007197414446316134,0.0006734963157480437,0.0003921770212754237,0.00045544956214965644
0.0007211261441685452,0.0006748008430823687,0.00039298769456905377,0.000456380907991363
0.0007225565462507537,0.0006761484268473285,0.0003938251244491623,0.00045734299326380076
0.0007235158790409316,0.000677052215585696,0.0003943867664891561,0.0004579882383737434
0.0007246304678909698,0.0006781022712711558,0.0003950393032958815,0.00045873790836568673
0.0007257324134046372,0.0006791404156520672,0.000395684438052657,0.0004594790744775897
0.0007268461386395459,0.0006801896577245282,0.00039633646925531257,0.00046022816360390963
0.000727975311207248,0.0006812534527504161,0.00039699754410954703,0.0004609876425720538
0.0007288798295852641,0.0006821056007558499,0.00039752709501434476,0.0004615960196297793
0.0007298035467814708,0.0006829758359942526,0.0003980678858804202,0.0004622173097700983
0.0007307602605190921,0.0006838771573196116,0.0003986279945942983,0.00046286079331109205
0.0007317166670364722,0.0006847781892123598,0.0003991879234458755,0.000463504070216432
0.0007328536409592295,0.0006858493339055531,0.0003998535656087778,0.00046426879635870776
0.0007339690106380577,0.0006869001252108878,0.000400506559552254,0.00046501899153436594
0.0007350818505757003,0.0006879485332435793,0.0004011580724570179,0.0004657674852117056
0.0007360597090183015,0.000688869775024522,0.00040173056035292925,0.0004664251906344374
0.0007379082851553194,0.0006906113211404863,0.00040281281052024186,0.0004676685388499677
0.0007393608768311734,0.0006919798097520762,0.0004036632313131695,0.0004686455487939459
0.000740496076964852,0.0006930492833561438,0.00040432783501003904,0.00046940908188961597
0.000741650194932545,0.0006941365794776023,0.00040500351416580767,0.0004701853390785448
0.0007428381165065075,0.0006952557220229247,0.00040569898366605184,0.0004709843324981823
0.0007444378624638332,0.0006967628448850669,0.0004066355560339968,0.0004720603180859609
0.0007460140242379318,0.00069824774905582,0.00040755832102569564,0.0004731204410043352
0.0007471834843222826,0.0006993494990064397,0.00040824298223418435,0.00047390701726694837
0.0007486821489748989,0.000700761393032675,0.0004091203764829579,0.0004749150157930545
0.0007502303102068334,0.000702219917854223,0.0004100267485380418,0.0004759563056087848
0.0007515960565658292,0.0007035065893736004,0.0004108263256806496,0.0004768749035849893
0.0007528329631838143,0.0007046718807961314,0.0004115504735085145,0.00047770684423674426
